cycle_number,capacity,avg_temperature,discharge_duration,capacity_fade,capacity_retention_percent,stress_risk,health_alert,degradation_rate_per_cycle
1,1.6743047446975208,8.272422519178683,6436.141,0.0,100.0,Low,Healthy,
2,1.5243662105099025,8.210715424489035,5650.265,0.14993853418761827,91.04472858585216,Low,Healthy,-8.955271414147845
3,1.5080762969973425,7.954455063989402,5590.907,0.1662284477001783,90.07179259172385,Low,Healthy,-0.9729359941283064
4,1.4835577960067696,7.985864710265717,5543.61,0.19074694869075115,88.60739364832826,Low,Healthy,-1.4643989433955937
5,1.4671391666146525,8.009426990342208,5499.046,0.20716557808286828,87.62676993307483,Low,Healthy,-0.9806237152534294
6,1.448858156982267,8.033626730077737,5461.219,0.22544658771525383,86.53491316743637,Low,Healthy,-1.091856765638454
7,1.4458534180949325,8.150799939416203,5451.281,0.22845132660258827,86.35545128053374,Low,Healthy,-0.17946188690262943
8,1.431118266178283,8.230899786348077,5468.062,0.2431864785192377,85.47537541839961,Low,Healthy,-0.8800758621341345
9,1.419274551657853,8.146945225413083,5411.297,0.2550301930396677,84.76799436617847,Medium,Warning,-0.7073810522211375
10,1.3999974221808271,8.251894856354932,5369.703,0.27430732251669365,83.61664306420813,Medium,Warning,-1.1513513019703367
11,1.3885156686114437,8.23497518866995,5327.406,0.28578907608607707,82.93088059439815,Medium,Warning,-0.6857624698099869
12,1.3652234669528964,8.269239827690175,5299.266,0.30908127774462435,81.53972395267488,Medium,Warning,-1.3911566417232706
13,1.4060442272970963,8.236583239584068,5367.172,0.26826051740042445,83.97779626140351,Medium,Warning,2.4380723087286356
14,1.405754161352578,8.16126508624072,5406.812,0.26855058334494286,83.96047170054104,Medium,Warning,-0.0173245608624768
15,1.3867662881727878,8.25301239256121,5353.094,0.287538456524733,82.82639660220997,Medium,Warning,-1.134075098331067
16,1.3705053061420225,8.291638340695691,5280.031,0.3037994385554983,81.85518857796808,Medium,Warning,-0.9712080242418892
17,1.34974311148236,8.318107121376224,5248.593,0.32456163321516085,80.61513985174807,Medium,Warning,-1.2400487262200102
18,1.3251533367939785,8.303021352537922,5203.375,0.34915140790354227,79.14648399526456,Medium,Critical Warning,-1.4686558564835082
19,1.3111943869635805,8.32601397527908,5166.812,0.3631103577339403,78.31276779905801,Medium,Critical Warning,-0.8337161962065522
21,1.3394234405932892,8.388106987601862,5340.281,0.33488130410423156,79.99878426165894,Medium,Critical Warning,1.6860164626009322
22,1.2849157142560723,8.304841644444155,5103.0,0.38938903044144846,76.74324034052742,Medium,Critical Warning,-3.255543921131519
23,1.281719159327807,8.319029412369582,5051.172,0.3925855853697138,76.55232199436679,Medium,Critical Warning,-0.19091834616062897
24,1.2600051642942829,8.401755924951388,5027.563,0.4142995804032379,75.25542576909527,Medium,Critical Warning,-1.2968962252715244
25,1.266070385993126,8.395347720509116,4993.765,0.40823435870439484,75.61767892032425,Medium,Critical Warning,0.36225315122898394
26,1.2413590294280803,8.419292173692186,4962.469,0.4329457152694405,74.14176143019554,High,High Risk,-1.4759174901287082
27,1.2298873703485311,8.293327119939335,4907.859,0.44441737434898965,73.4566018667481,High,High Risk,-0.6851595634474421
28,1.228088614506696,8.49190236531868,4888.656,0.44621613019082473,73.34916886522723,High,High Risk,-0.10743300152087443
29,1.2139857189070042,8.437149776270967,4866.25,0.46031902579051653,72.50685532318207,High,High Risk,-0.8423135420451615
30,1.2173435064564189,8.429621946088576,4836.125,0.4569612382411019,72.70740349459761,High,High Risk,0.20054817141554793
31,1.2073445944515917,8.46306110156025,4801.485,0.4669601502459291,72.11020564059322,High,High Risk,-0.5971978540043921
32,1.18804049227045,8.459204966688853,4760.938,0.48626425242707083,70.95724335924766,High,High Risk,-1.152962281345566
33,1.186304749886542,8.493224799915222,4740.907,0.4879999948109788,70.85357391738499,High,High Risk,-0.1036694418626638
34,1.2613935471028506,8.466232868159803,4914.532,0.4129111975946702,75.33834871445302,Medium,Critical Warning,4.484774797068027
35,1.2648246158850651,8.553128334903379,4998.656,0.40948012881245566,75.5432737015607,Medium,Critical Warning,0.20492498710767393
36,1.24664945489822,8.342818484380935,4890.015,0.4276552897993007,74.45773888214354,High,High Risk,-1.0855348194171484
37,1.2333924152795082,8.481468325698998,4842.11,0.4409123294180126,73.66594517429576,High,High Risk,-0.7917937078477877
38,1.2129250072037692,8.425193812256257,4798.281,0.4613797374937516,72.44350295518608,High,High Risk,-1.2224422191096807
39,1.1999106597943647,8.471726206300676,4739.188,0.47439408490315604,71.66620435105678,High,High Risk,-0.7772986041292995
40,1.1902559038393383,8.510483818712029,4733.156,0.48404884085818245,71.08956165888245,High,High Risk,-0.5766426921743317
41,1.1892563795455853,8.530222967717657,4670.61,0.4850483651519355,71.02986378745739,High,High Risk,-0.059697871425058224
42,1.167069685125939,8.420605358837513,4635.0,0.5072350595715818,69.70473498459693,High,High Risk,-1.325128802860462
43,1.1615348403090369,8.51215713252602,4615.86,0.5127699043884839,69.374159273429,High,High Risk,-0.33057571116792417
44,1.1555563844349988,8.54602737861718,4580.75,0.518748360262522,69.01708832245835,High,High Risk,-0.3570709509706518
45,1.1488524666097713,8.4485741292899,4557.406,0.5254522780877495,68.6166882252563,High,High Risk,-0.40040009720205205
46,1.143572986788779,8.334392904335672,4524.032000000007,0.5307317579087418,68.30136451625336,High,High Risk,-0.31532370900293927
47,1.1418015379428537,8.548983420432004,4502.938,0.5325032067546671,68.19556246011422,High,High Risk,-0.10580205613914018
48,1.136058647502255,8.545644001542279,4483.094,0.5382460971952658,67.85256095702546,High,High Risk,-0.34300150308875743
49,1.1236364680969286,8.530684068571667,4448.36,0.5506682766005921,67.11063034704141,High,High Risk,-0.7419306099840526
50,1.1320498900328944,8.5880890540764,4440.531,0.5422548546646264,67.61313277156185,High,High Risk,0.5025024245204435
51,1.117010176215815,8.520717953543993,4416.547,0.5572945684817057,66.71486655899155,High,High Risk,-0.8982662125703058
52,1.120043039721982,8.509426489984776,4382.937,0.5542617049755387,66.89600822485447,High,High Risk,0.18114166586292413
53,1.1059773445917065,8.454153696786289,4347.453,0.5683274001058143,66.05591652859539,High,High Risk,-0.8400916962590799
55,1.1907902374762016,8.476574571858773,4746.5,0.48351450722131917,71.12147542121009,High,High Risk,5.065558892614703
56,1.2012387088454022,8.567006275916873,4679.156,0.4730660358521186,71.74552378530214,High,High Risk,0.6240483640920473
57,1.1906909549024802,8.607327084258758,4596.578,0.48361378979504055,71.11554564205633,High,High Risk,-0.6299781432458076
58,1.1764375730308343,8.707959029152644,4544.641,0.4978671716666865,70.26424411425586,High,High Risk,-0.851301527800473
59,1.1628110372792353,9.003534328496398,4526.938,0.5114937074182855,69.45038177558939,High,High Risk,-0.8138623386664676
60,1.1516152840582583,9.02852617906244,4487.438,0.5226894606392625,68.78170104369552,High,High Risk,-0.6686807318938719
61,1.1583673498348623,9.027729535660669,4513.312,0.5159373948626584,69.18497683909584,High,High Risk,0.40327579540031877
62,1.1692285288386206,9.071608131387514,4568.438,0.5050762158589002,69.83367469640976,High,High Risk,0.6486978573139197
63,1.1588148476218465,9.050284055951,4499.656,0.5154898970756743,69.2117042188277,High,High Risk,-0.6219704775820531
64,1.1439588147705455,8.986064263951343,4430.984,0.5303459299269753,68.3244085877098,High,High Risk,-0.8872956311179081
65,1.1383941068159398,9.036875447987502,4411.141,0.535910637881581,67.99204926231046,High,High Risk,-0.332359325399338
67,1.2213102850395667,9.095394308322597,4883.312,0.45299445965795404,72.94432443719845,High,High Risk,4.952275174887987
68,1.2031062978889062,9.009063913586548,4663.907,0.47119844680861456,71.8570679381464,High,High Risk,-1.087256499052046
69,1.1897147112197684,8.958051495293551,4581.328,0.4845900334777524,71.05723823500851,High,High Risk,-0.7998297031378883
70,1.177422568842014,8.972563208541265,4553.031,0.49688217585550687,70.32307425341058,High,High Risk,-0.7341639815979306
71,1.158443027293818,9.037146843138395,4486.5,0.5158617174037028,69.18949677247087,High,High Risk,-1.1335774809397066
72,1.1567087516841796,9.009035929017505,4450.625,0.5175959930133411,69.08591493558421,High,High Risk,-0.10358183688666145
